repo_name,readme_length,github_wiki_length,readme_completeness,docstring_coverage,documentation_percentage,documentation_up_to_date,documentation_readability,code_examples_ratio
cocktail,6386,0,0.3333333333333333,0.1818181818181818,0.1273584905660377,0.5,17.107338024751275,0.0
colorconverter,3382,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.253435598377283,0.0
colorpalette,4324,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,18.941582568807345,0.0
commentgenerator,3515,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,18.24413310412574,0.0
companynamegenerator,3373,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,18.344445329087048,0.0
contactextractor,4170,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,21.31477504638219,0.0
coordinatesaresea,3240,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.100309734513278,0.0
countryborders,3380,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.22163580246914,0.0
countryboundaries,87048,0,0.4,0.0,0.1102941176470588,0.6666666666666666,95.50482036100252,0.0
callingcode,3261,0,0.3333333333333333,0.0,0.1102941176470588,0.6666666666666666,16.859834598698487,0.0
countryflags,3788,0,0.3333333333333333,0.0,0.1102941176470588,0.6666666666666666,19.17390991471216,0.0
countrylanguages,3539,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,18.51997101449276,0.0
countrylookup,5424,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,22.742927255400257,0.0
countydata,6697,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,24.485876494023906,0.0
currencyconverter,3269,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.45003246753247,0.0
currencysymbols,7686,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,32.53056368330465,0.0
dadjokes,3074,0,0.3333333333333333,0.15,0.1102941176470588,0.3333333333333333,14.698124685771749,0.0
datecalculator,3590,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.70194029850747,0.0
dictionary,5881,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,10.517977924944812,0.0
emaildisposablechecker,3321,0,0.3333333333333333,0.1818181818181818,0.1244239631336405,0.5,18.221730132450336,0.0
distancecalculator,3586,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,18.044880136986304,0.0
dnslookup,5231,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,20.02047413793104,0.0
dogbreeds,3683,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.324847328244278,0.0
domainavailability,3278,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,18.275088495575226,0.0
domainexpiration,3424,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.817251037344402,0.0
emailvalidator,3579,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,18.564581712062253,0.0
emoji,3392,0,0.3333333333333333,0.1818181818181818,0.1273584905660377,0.5,17.344593495934962,0.0
exercises,8222,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,10.9676656797434,0.0
fullyqualifieddomain,3346,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.48222103004292,0.0
genderdetector,3234,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.81064516129032,0.0
goldprice,3188,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,16.057655228758172,0.0
grammarcheck,3298,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,14.712240663900417,0.0
embeddings,23481,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,32.925453168391826,0.0
earthquake,10144,0,0.3333333333333333,0.15,0.1102941176470588,0.3333333333333333,40.42553740390302,0.0
chen,9443,0,0.2666666666666666,0.8436018957345972,0.1026275115919629,0.0,18.244029699469653,0.0
dep-scan,15371,0,0.4666666666666667,0.341645885286783,0.0860571609032054,0.0355871886120996,14.873343479154144,0.0
vulnerability-db,8958,0,0.4,0.206286836935167,0.0526438027405744,0.0117994100294985,12.609213675213676,0.0
apsw-sqlite3mc,8652,5960,0.2666666666666666,0.2658767772511848,0.1544653123802223,0.0693181818181818,12.11777502131066,0.0
argon2-cffi,2705,0,0.1333333333333333,0.7058823529411765,0.286286731967943,0.56,14.101027698487233,0.0
argon2-cffi-bindings,5617,0,0.2,0.3,0.0685358255451713,0.0,15.246486068111455,0.0
Arjun,3205,0,0.1333333333333333,0.6285714285714286,0.1316614420062695,0.0,18.657243697479,0.0
armasec,2653,0,0.2,0.508833922261484,0.1686046511627907,0.0405405405405405,12.653865448823549,0.0
